,content_time,star,comment-content
5,2020-12-05 00:01:59,很差,一星给13岁的张鲁一.....张鲁一先生还不如多多钆戏，您戏份少点晚点出现观众还能痛快点。这版大秦算得上是史上最烂了，把之前狂吹的逼格都撕烂了哈哈哈
6,2020-12-04 20:36:26,很差,就冲李斯对韩非在学馆说的那段话，以及韩非那句“韩，无需怜悯”这是韩非能说出来的话？
7,2020-12-03 22:33:26,很差,选角太失败了，剧本稀烂，台词拗口
8,2020-12-04 01:45:23,很差,剧名就让人琢磨不透，演技差了点
9,2020-12-05 23:54:25,较差,一个张鲁一，将这部戏的观感给毁了。都多大岁了，还装嫩，前面少年演员演得气势十足，为什么不能坚持久一些，让一个40岁的张鲁一演一个十几岁的娃娃，真当观众是瞎吗？张鲁一的气质也不是帝王的，他一直是走阴郁路线的，这八竿子也打不着呀。可惜了一众演技派，怎么看怎么别扭。
10,2020-12-06 07:34:23,很差,剧烂演技差还甩锅女性观众 清醒点哈 除了历史粉没人看你这烂剧 哦不对 历史粉也不看这种打着正剧名头魔改的烂剧🤗接档了前面收视破2剧的底盘结果扑成这样心里没点数？
11,2020-12-02 15:30:35,力荐,质感是四部以来最好的，但总感觉精致的画面少了那种战国的粗粝感。
12,2020-12-04 08:40:42,很差,一分是给李梦的，其他人一分都不值。这狗屎剧自己和前三部看看能比吗？
13,2020-12-04 10:16:21,较差,除了段奕宏没啥值得可吹得
14,2020-12-04 15:38:34,较差,从没想过大秦系列会有这么吓人的时候，滤镜碎一地
15,2020-12-05 00:13:32,较差,什么鬼剧情和张鲁一出离迷惑的演技，除了老段没一个能让人入戏的，该感谢制作方没叫大秦帝国系列哦！
16,2020-12-05 08:35:47,很差,剧情太烂了
17,2020-12-01 21:08:27,力荐,看了一集实在是觉得不错（朱珠演的赵姬可真美 第二集邬君梅的华阳夫人出场我直接疯掉
18,2020-12-04 20:43:24,较差,嬴政的选角不可
